Quarter and Year,Region,New Subscribers (Millions),Revenues (USD)
Q1 - 2018,United States and Canada,11.04,1976157000
Q1 - 2018,"Europe, Middle East, and Africa",10.68,886649000
Q1 - 2018,Latin America,8.79,540182000
Q1 - 2018,Asia-Pacific,9.55,199117000
Q2 - 2018,United States and Canada,11.13,2049546000
Q2 - 2018,"Europe, Middle East, and Africa",10.72,975497000
Q2 - 2018,Latin America,8.6,568071000
Q2 - 2018,Asia-Pacific,9.36,221252000
Q3 - 2018,United States and Canada,11.18,2094850000
Q3 - 2018,"Europe, Middle East, and Africa",10.28,1004749000
Q3 - 2018,Latin America,7.99,562307000
Q3 - 2018,Asia-Pacific,9.3,248691000
Q4 - 2018,United States and Canada,11.28,2160979000
Q4 - 2018,"Europe, Middle East, and Africa",10.2,1096812000
Q4 - 2018,Latin America,7.53,567137000
Q4 - 2018,Asia-Pacific,9.19,276756000
Q1 - 2019,United States and Canada,11.45,2256851000
Q1 - 2019,"Europe, Middle East, and Africa",10.23,1233379000
Q1 - 2019,Latin America,7.84,630472000
Q1 - 2019,Asia-Pacific,9.37,319602000
Q2 - 2019,United States and Canada,12.52,2501199000
Q2 - 2019,"Europe, Middle East, and Africa",10.13,1319087000
Q2 - 2019,Latin America,8.14,677136000
Q2 - 2019,Asia-Pacific,9.29,349494000
Q3 - 2019,United States and Canada,13.08,2621250000
Q3 - 2019,"Europe, Middle East, and Africa",10.4,1428040000
Q3 - 2019,Latin America,8.63,741434000
Q3 - 2019,Asia-Pacific,9.29,382304000
Q4 - 2019,United States and Canada,13.22,2671908000
Q4 - 2019,"Europe, Middle East, and Africa",10.51,1562561000
Q4 - 2019,Latin America,8.18,746392000
Q4 - 2019,Asia-Pacific,9.07,418121000
Q1 - 2020,United States and Canada,13.09,2702776000
Q1 - 2020,"Europe, Middle East, and Africa",10.4,1723474000
Q1 - 2020,Latin America,8.05,793453000
Q1 - 2020,Asia-Pacific,8.94,483660000
Q2 - 2020,United States and Canada,13.25,2839670000
Q2 - 2020,"Europe, Middle East, and Africa",10.5,1892537000
Q2 - 2020,Latin America,7.44,785368000
Q2 - 2020,Asia-Pacific,8.96,569140000
Q3 - 2020,United States and Canada,13.4,2933445000
Q3 - 2020,"Europe, Middle East, and Africa",10.88,2019083000
Q3 - 2020,Latin America,7.27,789384000
Q3 - 2020,Asia-Pacific,9.2,634981000
Q4 - 2020,United States and Canada,13.51,2980000000
Q4 - 2020,"Europe, Middle East, and Africa",11.05,2137000000
Q4 - 2020,Latin America,7.12,789000000
Q4 - 2020,Asia-Pacific,9.32,685000000
Q1 - 2021,United States and Canada,14.25,3171000000
Q1 - 2021,"Europe, Middle East, and Africa",11.56,2344000000
Q1 - 2021,Latin America,7.39,837000000
Q1 - 2021,Asia-Pacific,9.71,762000000
Q2 - 2021,United States and Canada,14.54,3235000000
Q2 - 2021,"Europe, Middle East, and Africa",11.66,2400000000
Q2 - 2021,Latin America,7.5,861000000
Q2 - 2021,Asia-Pacific,9.74,799000000
